2.000000000000000e+00	4.537665091394085e-01	1.286315345376648e-02	
4.000000000000000e+00	4.659349655659404e-01	6.946970272345698e-04	
8.000000000000000e+00	4.665884028525825e-01	4.125974059254744e-05	
1.600000000000000e+01	4.666271190942090e-01	2.543498966056656e-06	
3.200000000000000e+01	4.666295041805804e-01	1.584125945974790e-07	
6.400000000000000e+01	4.666296527010985e-01	9.892076491269108e-09	
1.280000000000000e+02	4.666296619750568e-01	6.181181677611391e-10	
2.560000000000000e+02	4.666296625545451e-01	3.862993258607617e-11	
5.120000000000000e+02	4.666296625907614e-01	2.413569344383859e-12	
1.024000000000000e+03	4.666296625930244e-01	1.506017532904025e-13	
2.048000000000000e+03	4.666296625931659e-01	9.103828801926284e-15	
4.096000000000000e+03	4.666296625931746e-01	3.885780586188048e-16	
8.192000000000000e+03	4.666296625931766e-01	1.554312234475219e-15	
1.638400000000000e+04	4.666296625931735e-01	1.554312234475219e-15	
3.276800000000000e+04	4.666296625931772e-01	2.164934898019055e-15	
6.553600000000000e+04	4.666296625931755e-01	4.440892098500626e-16	
1.310720000000000e+05	4.666296625931716e-01	3.386180225106727e-15	
2.621440000000000e+05	4.666296625931725e-01	2.498001805406602e-15	
5.242880000000000e+05	4.666296625931717e-01	3.330669073875470e-15	
1.048576000000000e+06	4.666296625931431e-01	3.191891195797325e-14	
2.097152000000000e+06	4.666296625931546e-01	2.042810365310288e-14	
4.194304000000000e+06	4.666296625931952e-01	2.020605904817785e-14	
8.388608000000000e+06	4.666296625930849e-01	9.009459844833145e-14	
1.677721600000000e+07	4.666296625931530e-01	2.198241588757810e-14	
3.355443200000000e+07	4.666296625931158e-01	5.923039836375210e-14	
6.710886400000000e+07	4.666296625932169e-01	4.191091917959966e-14	

f(x) calls			=  134217752
